x,y,z,Spindle power/W,Cutting power/W
120.18,176.967,28.838,302.343744,183.398448
120.18,176.967,28.838,299.707008,180.761712
121.16,176.692,28.811,299.707008,180.761712
121.16,176.692,28.811,324.023424,205.078128
122.159,176.242,28.782,324.023424,205.078128
122.159,176.242,28.782,313.76952,194.824224
122.968,175.633,28.756,313.76952,194.824224
122.968,175.633,28.756,301.171872,182.226576
123.73,174.843,28.727,301.171872,182.226576
123.73,174.843,28.727,331.64064,212.695344
124.253,173.968,28.699,331.64064,212.695344
124.253,173.968,28.699,315.82032,196.875024
124.614,172.933,28.67,315.82032,196.875024
124.614,172.933,28.67,306.738288,187.792992
124.781,171.937,28.644,306.738288,187.792992
124.781,171.937,28.644,324.316416,205.37112
124.768,170.835,28.615,324.316416,205.37112
124.768,170.835,28.615,311.718768,192.773472
124.499,169.852,28.588,311.718768,192.773472
124.499,169.852,28.588,325.195296,206.25
124.032,168.862,28.56,325.195296,206.25
124.032,168.862,28.56,326.66016,207.714864
123.454,168.032,28.533,326.66016,207.714864
123.454,168.032,28.533,313.476576,194.53128
122.657,167.268,28.504,313.476576,194.53128
122.657,167.268,28.504,331.933584,212.988288
121.787,166.742,28.477,331.933584,212.988288
121.787,166.742,28.477,320.214864,201.269568
120.747,166.387,28.449,320.214864,201.269568
120.747,166.387,28.449,313.76952,194.824224
119.751,166.223,28.422,313.76952,194.824224
119.751,166.223,28.422,314.941392,195.996096
118.651,166.235,28.393,314.941392,195.996096
118.651,166.235,28.393,318.457008,199.511712
117.665,166.492,28.366,318.457008,199.511712
117.665,166.492,28.366,325.488288,206.542992
116.675,166.96,28.337,325.488288,206.542992
116.675,166.96,28.337,307.91016,188.964864
115.846,167.54,28.31,307.91016,188.964864
115.846,167.54,28.31,302.0508,183.105504
115.075,168.329,28.282,302.0508,183.105504
115.075,168.329,28.282,317.871072,198.925776
114.571,169.212,28.255,317.871072,198.925776
114.571,169.212,28.255,300,181.054704
114.193,170.239,28.226,300,181.054704
114.193,170.239,28.226,302.0508,183.105504
114,171.235,28.2,302.0508,183.105504
114,171.235,28.2,311.718768,192.773472
114.04,172.334,28.171,311.718768,192.773472
114.04,172.334,28.171,301.171872,182.226576
114.282,173.324,28.144,301.171872,182.226576
114.282,173.324,28.144,314.941392,195.996096
114.753,174.314,28.115,314.941392,195.996096
114.753,174.314,28.115,305.566416,186.62112
115.334,175.14,28.088,305.566416,186.62112
115.334,175.14,28.088,296.777328,177.832032
116.117,175.915,28.059,296.777328,177.832032
116.117,175.915,28.059,314.355456,195.41016
116.998,176.426,28.032,314.355456,195.41016
116.998,176.426,28.032,303.515616,184.57032
118.026,176.802,28.004,303.515616,184.57032
118.026,176.802,28.004,286.816416,167.87112
119.021,176.987,27.977,286.816416,167.87112
119.021,176.987,27.977,294.433584,175.488288
120.124,176.971,27.948,294.433584,175.488288
120.124,176.971,27.948,294.14064,175.195344
121.106,176.707,27.922,294.14064,175.195344
121.106,176.707,27.922,291.21096,172.265664
122.11,176.27,27.893,291.21096,172.265664
122.11,176.27,27.893,282.714864,163.769568
122.927,175.673,27.866,282.714864,163.769568
122.927,175.673,27.866,290.625024,171.679728
123.701,174.891,27.837,290.625024,171.679728
123.701,174.891,27.837,288.574224,169.628928
124.224,174.016,27.811,288.574224,169.628928
124.224,174.016,27.811,281.542992,162.597696
124.599,172.987,27.781,281.542992,162.597696
124.599,172.987,27.781,291.21096,172.265664
124.781,171.993,27.754,291.21096,172.265664
124.781,171.993,27.754,278.32032,159.375024
124.777,170.89,27.725,278.32032,159.375024
124.777,170.89,27.725,278.613264,159.667968
124.515,169.907,27.699,278.613264,159.667968
124.515,169.907,27.699,292.08984,173.144544
124.061,168.911,27.67,292.08984,173.144544
124.061,168.911,27.67,284.472672,165.527376
123.495,168.071,27.644,284.472672,165.527376
123.495,168.071,27.644,285.937488,166.992192
122.698,167.308,27.615,285.937488,166.992192
122.698,167.308,27.615,299.121072,180.175776
121.836,166.771,27.588,299.121072,180.175776
121.836,166.771,27.588,291.21096,172.265664
120.801,166.403,27.559,291.21096,172.265664
120.801,166.403,27.559,303.515616,184.57032
119.807,166.224,27.533,303.515616,184.57032
119.807,166.224,27.533,290.03904,171.093744
118.705,166.223,27.504,290.03904,171.093744
118.705,166.223,27.504,305.85936,186.914064
117.719,166.478,27.477,305.85936,186.914064
117.719,166.478,27.477,316.6992,197.753904
116.724,166.932,27.448,316.6992,197.753904
116.724,166.932,27.448,302.636736,183.69144
115.886,167.5,27.421,302.636736,183.69144
115.886,167.5,27.421,317.578128,198.632832
115.112,168.286,27.392,317.578128,198.632832
115.112,168.286,27.392,321.386736,202.44144
114.598,169.163,27.365,321.386736,202.44144
114.598,169.163,27.365,304.101552,185.156256
114.207,170.184,27.337,304.101552,185.156256
114.207,170.184,27.337,328.125024,209.179728
114,171.178,27.31,328.125024,209.179728
114,171.178,27.31,321.386736,202.44144
114.027,172.279,27.281,321.386736,202.44144
114.027,172.279,27.281,306.445296,187.5
114.269,173.269,27.254,306.445296,187.5
114.269,173.269,27.254,337.207008,218.261712
114.725,174.264,27.226,337.207008,218.261712
114.725,174.264,27.226,312.304704,193.359408
115.294,175.1,27.199,312.304704,193.359408
115.294,175.1,27.199,316.113264,197.167968
116.072,175.882,27.17,316.113264,197.167968
116.072,175.882,27.17,333.984384,215.039088
116.949,176.398,27.143,333.984384,215.039088
116.949,176.398,27.143,309.375024,190.429728
117.971,176.788,27.114,309.375024,190.429728
117.971,176.788,27.114,319.042992,200.097696
118.964,176.988,27.087,319.042992,200.097696
118.964,176.988,27.087,318.457008,199.511712
120.068,176.972,27.059,318.457008,199.511712
120.068,176.972,27.059,314.648448,195.703152
121.051,176.723,27.032,314.648448,195.703152
121.051,176.723,27.032,318.164064,199.218768
122.061,176.298,27.003,318.164064,199.218768
122.061,176.298,27.003,315.527328,196.582032
122.886,175.712,26.976,315.527328,196.582032
122.886,175.712,26.976,312.304704,193.359408
123.671,174.939,26.948,312.304704,193.359408
123.671,174.939,26.948,318.457008,199.511712
124.195,174.065,26.921,318.457008,199.511712
124.195,174.065,26.921,318.457008,199.511712
124.584,173.042,26.892,318.457008,199.511712
124.584,173.042,26.892,321.093744,202.148448
124.781,172.05,26.866,321.093744,202.148448
124.781,172.05,26.866,314.941392,195.996096
124.781,170.946,26.837,314.941392,195.996096
124.781,170.946,26.837,313.476576,194.53128
124.53,169.961,26.81,313.476576,194.53128
124.53,169.961,26.81,313.183584,194.238288
124.09,168.96,26.781,313.183584,194.238288
124.09,168.96,26.781,302.636736,183.69144
123.536,168.11,26.754,302.636736,183.69144
123.536,168.11,26.754,304.101552,185.156256
122.739,167.347,26.725,304.101552,185.156256
122.739,167.347,26.725,305.85936,186.914064
121.885,166.799,26.698,305.85936,186.914064
121.885,166.799,26.698,292.08984,173.144544
120.856,166.419,26.67,292.08984,173.144544
120.856,166.419,26.67,300.585936,181.64064
119.864,166.225,26.643,300.585936,181.64064
119.864,166.225,26.643,290.917968,171.972672
118.761,166.215,26.614,290.917968,171.972672
118.761,166.215,26.614,297.07032,178.125024
117.774,166.463,26.588,297.07032,178.125024
117.774,166.463,26.588,303.808608,184.863312
116.772,166.904,26.559,303.808608,184.863312
116.772,166.904,26.559,289.746096,170.8008
115.926,167.459,26.532,289.746096,170.8008
115.926,167.459,26.532,299.414064,180.468768
115.151,168.246,26.503,299.414064,180.468768
